PostcodeID,Postcode,SuburbName,Latitude,Longitude
1,2000,Barangaroo,-33.86,151.21
2,2000,Dawes Point,-33.86,151.21
3,2000,Haymarket,-33.86,151.21
4,2000,Millers Point,-33.86,151.21
5,2000,Parliament House,-33.86,151.21
6,2000,Sydney,-33.86,151.21
7,2000,Sydney South,-33.86,151.21
8,2000,The Rocks,-33.86,151.21
9,2001,Sydney,-33.79,151.27
10,2002,World Square,-35.97,146.41
11,2004,Alexandria MC,0,0
12,2004,Eastern Suburbs MC,0,0
13,2006,The University Of Sydney,-33.89,151.19
14,2007,Broadway,-33.88,151.2
15,2007,Ultimo,-33.88,151.2
16,2008,Chippendale,-33.89,151.2
17,2008,Darlington,-33.89,151.2
18,2009,Pyrmont,-33.87,151.19
19,2010,Darlinghurst,-33.88,151.22
20,2010,Surry Hills,-33.88,151.22
21,2011,Elizabeth Bay,-33.87,151.23
22,2011,Hmas Kuttabul,-33.87,151.23
23,2011,Potts Point,-33.87,151.23
24,2011,Rushcutters Bay,-33.87,151.23
25,2011,Woolloomooloo,-33.87,151.23
26,2012,Strawberry Hills,-33.73,150.93
27,2013,Strawberry Hills,-33.73,150.93
28,2015,Alexandria,-33.9,151.2
29,2015,Beaconsfield,-33.9,151.2
30,2015,Eveleigh,-33.9,151.2
31,2016,Redfern,-33.89,151.2
32,2017,Waterloo,-33.9,151.21
33,2017,Zetland,-33.9,151.21
34,2018,Eastlakes,-33.93,151.21
35,2018,Rosebery,-33.93,151.21
36,2019,Banksmeadow,-33.96,151.21
37,2019,Botany,-33.96,151.21
38,2020,Mascot,-33.93,151.19
39,2020,Sydney Domestic Airport,-33.93,151.19
40,2020,Sydney International Airport,-33.93,151.19
41,2021,Centennial Park,-33.89,151.22
42,2021,Moore Park,-33.89,151.22
43,2021,Paddington,-33.89,151.22
44,2022,Bondi Junction,-33.89,151.25
45,2022,Bondi Junction Plaza,-33.89,151.25
46,2022,Queens Park,-33.89,151.25
47,2023,Bellevue Hill,-33.89,151.26
48,2024,Bronte,-33.9,151.26
49,2024,Waverley,-33.9,151.26
50,2025,Woollahra,-33.89,151.24
51,2026,Bondi,-33.89,151.26
52,2026,Bondi Beach,-33.89,151.26
53,2026,North Bondi,-33.89,151.26
54,2026,Tamarama,-33.89,151.26
55,2027,Darling Point,-33.87,151.24
56,2027,Edgecliff,-33.87,151.24
57,2027,Hmas Rushcutters,-33.87,151.24
58,2027,Point Piper,-33.87,151.24
59,2028,Double Bay,-33.88,151.24
60,2029,Rose Bay,-33.87,151.28
61,2030,Dover Heights,-33.87,151.28
62,2030,Hmas Watson,-33.87,151.28
63,2030,Rose Bay North,-33.87,151.28
64,2030,Vaucluse,-33.87,151.28
65,2030,Watsons Bay,-33.87,151.28
66,2031,Clovelly,-33.91,151.26
67,2031,Clovelly West,-33.91,151.26
68,2031,Randwick,-33.91,151.26
69,2031,St Pauls,-33.91,151.26
70,2032,Daceyville,-33.93,151.23
71,2032,Kingsford,-33.93,151.23
72,2033,Kensington,-33.91,151.22
73,2034,Coogee,-33.92,151.25
74,2034,South Coogee,-33.92,151.25
75,2035,Maroubra,-33.95,151.24
76,2035,Maroubra South,-33.95,151.24
77,2035,Pagewood,-33.95,151.24
78,2036,Chifley,-33.98,151.24
79,2036,Eastgardens,-33.98,151.24
80,2036,Hillsdale,-33.98,151.24
81,2036,La Perouse,-33.98,151.24
82,2036,Little Bay,-33.98,151.24
83,2036,Malabar,-33.98,151.24
84,2036,Matraville,-33.98,151.24
85,2036,Phillip Bay,-33.98,151.24
86,2036,Port Botany,-33.98,151.24
87,2037,Forest Lodge,-33.88,151.18
88,2037,Glebe,-33.88,151.18
89,2038,Annandale,-33.88,151.17
90,2039,Rozelle,-33.86,151.17
91,2040,Leichhardt,-33.88,151.16
92,2040,Lilyfield,-33.88,151.16
93,2041,Balmain,-33.86,151.18
94,2041,Balmain East,-33.86,151.18
95,2041,Birchgrove,-33.86,151.18
96,2042,Enmore,-33.9,151.17
97,2042,Newtown,-33.9,151.17
98,2043,Erskineville,-33.9,151.19
99,2044,St Peters,-33.91,151.18
100,2044,Sydenham,-33.91,151.18
101,2044,Tempe,-33.91,151.18
102,2045,Haberfield,-33.88,151.14
103,2046,Abbotsford,-33.85,151.13
104,2046,Canada Bay,-33.85,151.13
105,2046,Chiswick,-33.85,151.13
106,2046,Five Dock,-33.85,151.13
107,2046,Rodd Point,-33.85,151.13
108,2046,Russell Lea,-33.85,151.13
109,2046,Wareemba,-33.85,151.13
110,2047,Drummoyne,-33.85,151.15
111,2048,Stanmore,-33.9,151.17
112,2048,Westgate,-33.9,151.17
113,2049,Lewisham,-33.89,151.14
114,2049,Petersham,-33.89,151.14
115,2049,Petersham North,-33.89,151.14
116,2050,Camperdown,-33.89,151.18
117,2050,Missenden Road,-33.89,151.18
118,2052,Unsw Sydney,-33.91,151.23
119,2055,North Sydney,-33.8,151.1
120,2057,Chatswood,-33.79,151.19
121,2058,Northern Suburbs MC,0,0
122,2059,North Sydney,-33.8,151.1
123,2060,Hmas Platypus,-33.84,151.19
124,2060,Hmas Waterhen,-33.84,151.19
125,2060,Lavender Bay,-33.84,151.19
126,2060,Mcmahons Point,-33.84,151.19
127,2060,North Sydney,-33.84,151.19
128,2060,North Sydney Shoppingworld,-33.84,151.19
