the_geom,cartodb_id,the_geom_webmercator,last_updated,_ds_write_method,access_direction,access_direction_cardinal,accessible,baby_change_facilities,bbq,boat_ramp,caravan_disposal,carriageway_code,carriageway_configuration,category,construction_date,description,distance_from,driver_reviver,emergency_phones,entry_taper,exit_taper,food_available,fuel_available,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,latitude,lga,light_vehicle_parking_capacity,light_vehicles_parking_type,lighting,link_no,litter_bins,longitude,lookout,ne_unique,pets_allowed,picnic_table,playground,power_outlets,power_supply,region,rest_area_name,rest_area_number,road_name,road_number,separated_parking_areas_light_heavy,shade,shelter,side_of_road,sign_non_potable,site_status,sports_ground,suburb,toilets,tourist_information,tree_shading,vehicle_type,water_supply_type,guid,responsible_authority
0101000020E61000003A58FFE730F76240878A71FE26EC3DC0,12421,0101000020110F0000497023E9831B704136A880FC69A74AC1,2018-12-21 11:12:56+00,2,COUNTER,BOTH,true,false,false,false,false,A1,,INSPECTION BAY,,,80.6km North of Armidale,false,false,,,false,false,,,-29.92247,SEVERN,,,true,1335,true,151.72472,false,"0000009,1335,A1",false,false,false,false,false,NORTHERN REGION,Glencoe,1095,NEW ENGLAND HIGHWAY,0000009,false,false,true,RIGHT,false,,false,GLENCOE,1,false,false,BOTH LIGHT AND HEAVY VEHICLES,RAINWATER TANK,6DFC44C1A3D59AEE,RMS
0101000020E61000001A69A9BC1D9A6240210725CCB43140C0,12422,0101000020110F0000229507FAEE986F416C2592CEFC194DC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A2,,REST AREA,,,21.6km from Wellington,false,false,,,false,false,,,-32.38833,DUBBO REGIONAL,,,false,0610,true,148.81613,false,"0000007,0610,A2",false,true,false,false,false,WESTERN REGION,,1040,MITCHELL HIGHWAY,0000007,false,true,true,LEFT,false,,false,GEURIE,0,false,true,LIGHT VEHICLES ONLY,NONE,E25F009C1C616BDA,RMS
0101000020E61000000C1F11532277624048DC63E943D73FC0,12423,0101000020110F00001877B24E835D6F41BEC172DD748D4CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,0.48km East  of  Oxley Hwy Nevertire,false,false,,,false,false,,,-31.84088,WARREN,,,false,0915,true,147.72294,false,"0000007,0915,A1",false,false,false,false,false,WESTERN REGION,Southeast end of Nevertire,1052,MITCHELL HIGHWAY,0000007,false,false,true,LEFT,false,,false,NEVERTIRE,0,false,false,HEAVY VEHICLES ONLY,NONE,C37FC36E016DC1C1,RMS
0101000020E61000006475ABE7A4CF624005FA449E24953DC0,12424,0101000020110F0000E398BB2FDBF36F41F64B6ADD4B524AC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,PHYSICAL SEPARATION,REST AREA,,,10.1km West of Warialda,false,false,,,false,false,,,-29.58259,GWYDIR,,,false,0560,true,150.48888,true,"0000012,0560,A1",false,true,false,false,false,NORTHERN REGION,Nancy Coulton Lookout,1148,GWYDIR HIGHWAY,0000012,false,false,true,LEFT,false,OPEN,false,WARIALDA,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,F3E149ABEEF92690,RMS
0101000020E6100000F52D73BA2CF76240232D95B723EC3DC0,12425,0101000020110F0000A479C55C801B70414FE07BC666A74AC1,2018-12-21 11:12:56+00,2,PRESCRIBED,BOTH,true,false,false,false,false,A1,,INSPECTION BAY,,,80.6km North of Armidale,false,false,,,false,false,,,-29.92242,SEVERN,,,false,1335,true,151.72421,false,"0000009,1335,A1",false,false,false,false,false,NORTHERN REGION,Glencoe Northbound,2007,NEW ENGLAND HIGHWAY,0000009,false,false,true,LEFT,false,,false,GLENCOE,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,099F42676A3AB30F,RMS
0101000020E6100000C1ADBB79AAD06240904E5DF92CDB40C0,12426,0101000020110F00009724897D97F56F410D8284B26E714EC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A4,,INSPECTION BAY,,,64.5km from Lithgow,false,false,,,false,false,,,-33.71231,BLUE MOUNTAINS,,,false,1300,false,150.52081,false,"0000005,1300,A4",false,false,false,false,false,SYDNEY WEST ZONE,,942,GREAT WESTERN HIGHWAY,0000005,false,false,true,LEFT,false,,false,LINDEN,0,false,false,HEAVY VEHICLES ONLY,NONE,085B2C8E99921AA1,RMS
0101000020E6100000D5CA845FEA1463409F5912A0A6E63CC0,12428,0101000020110F0000659520A2C2347041A61B628474A849C1,2018-12-21 11:12:56+00,2,PRESCRIBED,,false,false,false,false,false,A1,,PARKING AREA,,,45km West of Casino,false,false,,,false,false,,,-28.90098,KYOGLE,,,false,0340,false,152.65361,false,"0000016,0340,A1",false,false,false,false,false,NORTHERN REGION,Bonalbo Road Westbound,614,BRUXNER HIGHWAY,0000016,false,false,true,LEFT,false,,false,SANDILANDS,0,false,false,HEAVY VEHICLES ONLY,NONE,5EF340B1AF7E496B,RMS
0101000020E6100000A60F5D50DFAF6140D174763238F23FC0,12429,0101000020110F000062130AF90B0B6E416CC274566BA84CC1,2018-12-21 11:12:56+00,2,PRESCRIBED,,true,false,false,false,false,A1,,PARKING AREA,,,3.3km East of Broken Hill,false,false,,,false,false,,,-31.94617,BROKEN HILL,,,false,0390,true,141.49601,false,"0000008,0390,A1",false,false,false,false,false,WESTERN REGION,Broken Hill Information Bay,254,BARRIER HIGHWAY,0000008,false,false,true,LEFT,false,,false,BROKEN HILL,0,false,false,LIGHT VEHICLES ONLY,NONE,016E6BB49A897485,RMS
0101000020E6100000FE43FAEDEB256340481630815B0F3EC0,12430,0101000020110F00008CD4351C34437041E90D75AAEFC94AC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,true,true,false,false,false,U1,PHYSICAL SEPARATION,REST AREA,,,33.0km north of Coffs Harbour,false,false,,,false,false,,,-30.05999,COFFS HARBOUR,,,true,2625,true,153.18505,false,"0000010,2625,U1",false,true,false,false,false,NORTHERN REGION,Arrawarra,4092,Pacific Highway,0000010,false,true,true,RIGHT,false,OPEN,false,ARRAWARRA,6,true,true,BOTH LIGHT AND HEAVY VEHICLES,TOWN SUPPLY,574F2B6BC10165FC,RMS
0101000020E61000001361C3D32B0863401EFE9AAC51673FC0,12431,0101000020110F0000DF5485C0EF297041D89C0C54CD1D4CC1,2018-12-21 11:12:56+00,2,COUNTER,,true,false,false,false,false,A1,PHYSICAL SEPARATION,REST AREA,,,58.4km West of Wauchope,false,false,,,false,false,,,-31.40359,PORT MACQUARIE - HASTINGS,,,false,0350,true,152.25535,false,"0000011,0350,A1",false,true,false,false,false,NORTHERN REGION,Mount Seaview,631,OXLEY HIGHWAY,0000011,false,false,true,RIGHT,false,OPEN,false,MOUNT SEAVIEW,0,false,false,LIGHT VEHICLES ONLY,NONE,ECFB4654D4684B7A,RMS
0101000020E6100000850838842AFB6140BFF1B56796B43FC0,12432,0101000020110F0000FAFD0FD8F08A6E4133724E1ED06A4CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A2,,PARKING AREA,,,42.1km West of Emmdale,false,false,,,false,false,,,-31.70542,CENTRAL DARLING,,,false,0215,true,143.84894,false,"0000008,0215,A2",false,false,false,false,false,WESTERN REGION,,1285,BARRIER HIGHWAY,0000008,false,false,true,LEFT,false,,false,WILCANNIA,0,false,false,HEAVY VEHICLES ONLY,NONE,7095C10ED10E6251,RMS
0101000020E610000077F35487DCEE61400F9C33A2B4B73FC0,12433,0101000020110F000068A3CD450A766E4185D04007ED6D4CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,0.1km South of North limit (SH8),false,false,,,false,false,,,-31.7176,CENTRAL DARLING,,,false,0490,true,143.46442,false,"0000021,0490,A1",false,false,false,false,false,WESTERN REGION,,1545,COBB HIGHWAY,0000021,false,false,true,LEFT,false,,false,WILCANNIA,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,5084D5DE31DB2A8F,RMS
0101000020E6100000232D95B723826240A18499B67FA940C0,12434,0101000020110F0000C583ACEE34706F41B20A9174380C4EC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,INSPECTION BAY,,,19.5km South of Parkes,false,false,,,false,false,,,-33.32421,PARKES,,,true,2621,true,148.06686,false,"0000017,2621,A1",false,false,false,false,false,WESTERN REGION,Daroobalgie Site,767,NEWELL HIGHWAY,0000017,false,false,true,RIGHT,false,,false,FORBES,0,false,false,HEAVY VEHICLES ONLY,NONE,679F218BCB09E73D,RMS
0101000020E6100000079964E42CB162401904560E2DB23EC0,12435,0101000020110F00002C856E141AC06F416E3214C9396A4BC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,REST AREA,,,54.7km South of Narrabri,false,false,,,false,false,,,-30.696,NARRABRI,,,true,3120,true,149.53673,false,"0000017,3120,A1",false,false,false,false,false,WESTERN REGION,Yarraman Rest Area,1186,NEWELL HIGHWAY,0000017,false,false,true,LEFT,false,,false,THE PILLIGA,2,false,false,BOTH LIGHT AND HEAVY VEHICLES,RAINWATER TANK,A24561EEACC63CAE,RMS
0101000020E61000002619390B7B846240FE2B2B4D4AF140C0,12436,0101000020110F0000D0CDF5F22E746F41B44A86BFA29E4EC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,0.65km West of Grenfell,false,false,,,false,false,,,-33.88508,WEDDIN,,,false,0510,true,148.14002,false,"0000006,0510,A1",false,false,false,false,false,WESTERN REGION,,849,FORBES RD,0000006,false,true,true,LEFT,false,,false,GRENFELL,0,false,true,HEAVY VEHICLES ONLY,NONE,20CD4F0E84EB8002,RMS
0101000020E6100000A4AA09A2EE1863404C89247A196D3EC0,12438,0101000020110F0000C57A49EF2B3870411506033F18264BC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,REST AREA,,,14.2km West of Bellingen,false,false,,,false,false,,,-30.42617,BELLINGEN,,,false,0060,true,152.77913,false,"0000076,0060,A1",false,true,false,false,false,NORTHERN REGION,ROSES PARK,4002,WATERFALL WAY,0000076,false,true,true,RIGHT,false,,false,THORA,2,false,true,LIGHT VEHICLES ONLY,SOURCE UNKNOWN,A59411EBEFF604FB,COUNCIL
0101000020E6100000BA66F2CD36AE62409EEA909BE11240C0,12439,0101000020110F00008501406412BB6F4120422C9C10DC4CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,REST AREA,,,57.21km North of Mudgee,false,false,,,false,false,,,-32.14751,MID WESTERN REGIONAL,,,false,1270,true,149.44419,false,"0000018,1270,A1",false,true,false,false,false,WESTERN REGION,,936,CASTLEREAGH HIGHWAY,0000018,false,true,true,LEFT,false,,false,BIRRIWA,0,false,true,BOTH LIGHT AND HEAVY VEHICLES,NONE,6819D279C326C27B,RMS
0101000020E61000007CED9925011862405EA27A6B600B42C0,12440,0101000020110F0000C6D510FCECBB6E4169D29681C67350C1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,5km from Echuca (VIC) and  72km to Deniliquin,false,false,,,false,false,,,-36.08888,MURRAY RIVER,,,false,0030,true,144.75014,false,"0000021,0030,A1",false,false,false,false,false,SOUTH WEST REGION,Halls,913,COBB HIGHWAY,0000021,false,false,true,RIGHT,false,,false,MOAMA,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,BF053ACEF305F136,RMS
0101000020E61000001FBFB7E9CF5662403BAA9A20EA063FC0,12441,0101000020110F0000E17105639C266F41355B97B310BE4BC1,2018-12-21 11:12:56+00,2,PRESCRIBED,,true,false,false,false,false,A1,,REST AREA,,,NorthWest Coolabah town limit,false,false,,,false,false,,,-31.02701,BOGAN,,,false,1065,true,146.71288,false,"0000007,1065,A1",false,false,false,false,false,WESTERN REGION,Coolabah Northwest,1066,MITCHELL HIGHWAY,0000007,false,false,true,LEFT,false,,false,COOLABAH,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,B7B41F35577F301D,RMS
0101000020E610000055DE8E705AFA61409964E42CECB13FC0,12442,0101000020110F0000FB9194678F896E41647F361927684CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A2,,PARKING AREA,,,44.8km West of Emmdale,false,true,,,false,false,,,-31.69501,CENTRAL DARLING,,,false,0215,false,143.82354,false,"0000008,0215,A2",false,false,false,false,false,WESTERN REGION,Emergency Phone Site,1286,BARRIER HIGHWAY,0000008,false,false,true,RIGHT,false,,false,WILCANNIA,0,false,false,LIGHT VEHICLES ONLY,NONE,8100AB6781872DDB,RMS
0101000020E610000098512CB7B492624022C32ADEC88C3DC0,12443,0101000020110F00009CDBE2B1588C6F41B03F9682224A4AC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,0.35km East of Collarenebri,false,false,,,false,false,,,-29.54994,WALGETT,,,false,0810,true,148.58456,false,"0000012,0810,A1",false,false,false,false,false,WESTERN REGION,,1358,MOREE RD,0000012,false,false,true,LEFT,false,,false,COLLARENEBRI,0,false,false,HEAVY VEHICLES ONLY,NONE,AEFC4B2D4B630268,RMS
0101000020E61000005F46B1DCD2CF62403FE3C281904C3FC0,12444,0101000020110F000043CBCE3F29F46F41448CAACB31034CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,32.5km North of Quirindi,false,false,,,false,false,,,-31.29908,LIVERPOOL PLAINS,,,false,0110,true,150.49449,false,"0000029,0110,A1",false,false,false,false,false,NORTHERN REGION,Square Bush,1787,KAMILAROI HIGHWAY,0000029,false,false,true,RIGHT,false,,false,BREEZA,0,false,false,HEAVY VEHICLES ONLY,NONE,F4D6A8FC4BB8E52C,RMS
0101000020E6100000F5D6C05609BA62405A12A0A6966940C0,12445,0101000020110F00004248CC4327CF6F4141901758AB8A4DC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A2,,REST AREA,,,36.77km from Mudgee turnoff,false,false,,,false,false,,,-32.82491,MID WESTERN REGIONAL,,,false,1110,false,149.81364,false,"0000018,1110,A2",false,false,false,false,false,WESTERN REGION,Cudgegong Truck Rest Area,932,CASTLEREAGH HIGHWAY,0000018,false,false,false,LEFT,false,,false,CUDGEGONG,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,D1D9E9E510D4AB6F,RMS
0101000020E61000009A42E73576C86240789CA223B9CC40C0,12446,0101000020110F0000C7439FFAA7E76F41EC75B39EF0534EC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,REST AREA,,,24km from Lithgow,false,false,,,false,false,,,-33.5994,BLUE MOUNTAINS,,,false,1521,true,150.26443,false,"0000005,1521,A1",false,false,false,false,false,SYDNEY WEST ZONE,Browntown Oval,952,GREAT WESTERN HWY,0000005,false,false,true,LEFT,false,,false,MOUNT VICTORIA,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,7DBDD27E5DB5CE3A,COUNCIL
0101000020E6100000C078060DFDB76240C2120F289B0640C0,12447,0101000020110F0000DF177BB5ACCB6F41732B2E9373C34CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,67kms from Merriwa.,false,false,,,false,false,,,-32.05161,COONABARABRAN,,,false,0300,true,149.74964,false,"0000027,0300,A1",false,false,false,false,false,WESTERN REGION,,4001,SCONE-DUNEDOO RD,0000027,false,false,false,LEFT,false,,false,UARBRY,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,82E5B217FA14EA8A,RMS
0101000020E6100000747B4963B42662406891ED7C3F8D3FC0,12448,0101000020110F0000123C643AE5D46E413A8EDECD92434CC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A3,,PARKING AREA,,,58km West of Cobar,false,false,,,false,false,,,-31.55175,COBAR,,,false,0120,true,145.20952,false,"0000008,0120,A3",false,false,false,false,false,WESTERN REGION,,1425,BARRIER HIGHWAY,0000008,false,false,true,RIGHT,false,,false,CUBBA,0,false,false,HEAVY VEHICLES ONLY,NONE,2F85CD41F04F8592,RMS
0101000020E6100000C520B07268656240312592E8658C3FC0,12449,0101000020110F0000C96D7F44673F6F410401EFF5B9424CC1,2018-12-21 11:12:56+00,2,PRESCRIBED,,true,false,false,false,false,A1,,PARKING AREA,,,0.7km NorthWest of Nyngan,false,false,,,false,false,,,-31.54843,BOGAN,,,false,1040,true,147.169,false,"0000007,1040,A1",false,false,false,false,false,WESTERN REGION,Nyngan-West approach-Northwest bound,1060,MITCHELL HIGHWAY,0000007,false,false,true,LEFT,false,,false,NYNGAN,0,false,false,HEAVY VEHICLES ONLY,NONE,2171555BFC8EBF4E,RMS
0101000020E61000008E9257E7187F6240CAA65CE15D7E3DC0,12450,0101000020110F000073F3100A0A6B6F412125DF09103C4AC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,REST AREA,,,5km South of Lightning Ridge turnoff,false,false,,,false,false,,,-29.49362,WALGETT,,,true,3285,true,147.97179,false,"0000018,3285,A1",false,false,false,false,false,WESTERN REGION,Near Lightening Ridge,1770,CASTLEREAGH HIGHWAY,0000018,false,true,true,LEFT,false,,false,LIGHTNING RIDGE,1,false,true,BOTH LIGHT AND HEAVY VEHICLES,WATER TRUCK,F8A47F3DF89F0D5F,RMS
0101000020E6100000AD6EF59CF4BF624005C58F31779540C0,12451,0101000020110F00005A17511C35D96F41606D084688E34DC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,false,false,false,false,false,A1,,PARKING AREA,,,33.8km from Mudgee turnoff,false,false,,,false,false,,,-33.1677,LITHGOW,,,false,1050,true,149.99861,true,"0000018,1050,A1",false,false,false,false,false,WESTERN REGION,Pearsons Lookout,562,CASTLEREAGH HIGHWAY,0000018,false,false,true,RIGHT,false,,false,CAPERTEE,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,2121A47329868787,RMS
0101000020E6100000247F30F0DCD46140A96A82A8FB4441C0,13281,0101000020110F0000BA612715E1496E415F4078628B4A4FC1,2019-10-10 15:19:42+00,2,BOTH,BOTH,false,false,false,false,false,A1,MAIN CARRIAGEWAY,REST AREA,,,10km from Euston and 69km to Mildura (VIC),false,false,,,false,false,,,-34.53893,BALRANALD,,,false,0570,true,142.65197,false,"0000014,0570,A1",false,true,false,false,false,SOUTH WEST REGION,Tapalin Rest Area - Eastbound,263,STURT HIGHWAY,0000014,false,false,true,RIGHT,false,OPEN,false,EUSTON,0,false,false,BOTH LIGHT AND HEAVY VEHICLES,NONE,17B771628726B731,RMS
0101000020E6100000917EFB3A70AA6240390B7BDAE1373FC0,12453,0101000020110F00003C9B7991A8B46F41864A3969A5EE4BC1,2018-12-21 11:12:56+00,2,BOTH,BOTH,true,false,false,false,false,A2,,REST AREA,,,8.5km North of Coonabarabran,false,false,,,false,false,,,-31.21829,COONABARABRAN,,,true,3100,true,149.3262,false,"0000017,3100,A2",false,true,false,false,false,WESTERN REGION,Gowan North Rest Area,1193,NEWELL HIGHWAY,0000017,false,true,true,LEFT,false,,false,COONABARABRAN,1,false,true,BOTH LIGHT AND HEAVY VEHICLES,RAINWATER TANK,824428D4B5155071,RMS
0101000020E610000023BE13B35E1D634062105839B4E83EC0,12454,0101000020110F000079F6E0CBF03B7041C90C895824A04BC1,2018-12-21 11:12:56+00,2,PRESCRIBED,,true,false,false,false,false,B1,PHYSICAL SEPARATION,REST AREA,,,17.2km north of Kempsey,false,false,,,false,false,,,-30.909,KEMPSEY,,,true,2310,true,152.91781,false,"0000010,2310,B1",false,true,false,false,false,NORTHERN REGION,Clybucca Northbound,4010,Pacific Highway Collombatti,0000010,false,true,true,LEFT,false,OPEN,false,CLYBUCCA,2,true,true,BOTH LIGHT AND HEAVY VEHICLES,SOURCE UNKNOWN,BFC3265306C2B4D0,RMS
